mean_pdp,ground_truth_pdp
-0.6450856576187054,-0.768523276652657
-0.6617431278216839,-0.8098145500009688
-0.730127303546587,-0.8479544772529065
-0.7992649884296011,-0.8833901579880178
-0.8829767795060594,-0.9164798130836481
-0.9123675854810271,-0.9475148853393006
-0.9136093143358344,-0.9767356708734496
-0.9555093482116054,-1.0043426285423969
-0.9477574086812705,-1.0305047265446545
-0.983879238088227,-1.0553657114486032
-0.9773297636717745,-1.079048890887844
-1.0233529828445218,-1.1016608337244034
-1.0617627208853258,-1.1232942690186352
-1.0726253813133573,-1.1440303833712937
-1.0768221310530344,-1.1639406605138896
-1.1110262012753243,-1.1830883684156135
-1.1345501368346314,-1.2015297719715197
-1.1399074913701956,-1.2193151298820961
-1.1636677017849053,-1.2364895202307544
-1.1676019976435095,-1.2530935289122227
-1.1643275327064506,-1.2691638273756143
-1.1717665247902669,-1.284733660373688
-1.1458664767596136,-1.2998332600330817
-1.164286862813344,-1.3144901992106535
-1.1739745842476976,-1.3287296945150353
-1.177097866681215,-1.3425748673596893
-1.192198868864951,-1.3560469698350297
-1.2107370202639998,-1.3691655809400272
-1.2161566802751842,-1.3819487777217252
-1.2350716235193913,-1.394413285077082
-1.2618057107035678,-1.4065746073320802
-1.2910088028377777,-1.4184471441950972
-1.3045033048703583,-1.4300442932597504
-1.2741688808326408,-1.4413785408871427
-1.27162396415975,-1.452461543013415
-1.2781156511492386,-1.4633041971937772
-1.3158228868492552,-1.4739167069993278
-1.322969908616909,-1.4843086397205094
-1.3147122871904395,-1.494488978195078
-1.317565338544703,-1.504466167464184
-1.314213783311062,-1.514248156863786
-1.3111334715010967,-1.5238424380770383
-1.3220323031648384,-1.5332560796040025
-1.3435740200180535,-1.5424957580459868
-1.3352102145980007,-1.5515677865513517
-1.3406297405656014,-1.560478140726336
-1.3533822043403663,-1.5692324822772574
-1.354991156281949,-1.5778361806183436
-1.3753905710044996,-1.5862943326517096
-1.4260023890237297,-1.5946117809019462
-1.4248545586780896,-1.6027931301668827
-1.4101661214975527,-1.6108427628278696
-1.4173713476748888,-1.6187648529470315
-1.42315612857405,-1.626563379265033
-1.4115901176061156,-1.6342421372006655
-1.4196019459961133,-1.6418047499428667
-1.4238823769706914,-1.6492546787163112
-1.4434471990428313,-1.656595232293378
-1.4432430885637322,-1.663829575817928
-1.4487843977110075,-1.6709607389997887
-1.5017772740920032,-1.6779916237330417
-1.5087425099481029,-1.6849250111860627
-1.5193939044364089,-1.6917635684066663
-1.5177024976912663,-1.6985098544816104
-1.5185198915947458,-1.705166326286068
-1.5222601717426658,-1.7117353438553815
-1.5251118219671769,-1.7182191754085012
-1.5138221621814276,-1.724620002049858
-1.5101355810680162,-1.730939922174056
-1.512303013054066,-1.7371809555956566
-1.5072559199174966,-1.7433450474243761
-1.5061687439847375,-1.7494340717043069
-1.5070019632987204,-1.7554498348342022
-1.5084213408962297,-1.761394078784433
-1.5098680578855341,-1.7672684841249604
-1.511278372824277,-1.7730746728774862
-1.5119738559205882,-1.7788142112038943
-1.5132934975211543,-1.784488611942131
-1.5138292362485597,-1.7900993369997953
-1.5151243398947263,-1.7956477996149158
-1.51327384148148,-1.8011353664926595
-1.5135573068345505,-1.8065633598260538
-1.512708036551056,-1.8119330592081955
-1.5138396568373091,-1.817245703442868
-1.5150351379704736,-1.8225024922599729
-1.513794449872953,-1.827704587941718
-1.5149489793667597,-1.8328531168650777
-1.5160795497771122,-1.8379491709656464
-1.5169815375420574,-1.8429938091276385
-1.518063844559273,-1.8479880585044703
-1.5191389607225232,-1.8529329157740373
-1.5201950131343471,-1.8578293483325201
-1.5212320515195819,-1.8626782954303083
-1.5222086517898685,-1.8674806692533656
-1.5232120067280386,-1.8722373559531589
-1.5242004722323266,-1.8769492166280533
-1.523062299771157,-1.8816170882588998
-1.524020374634693,-1.8862417846013493
-1.5249642098773704,-1.8908240970372783
-1.5258958020353066,-1.8953647953875516
