mean_pdp,ground_truth_pdp
-3.1457259000826947,-3.271844907789871
-3.126681299894658,-3.2274025341249515
-3.045303171768836,-3.182960160460033
-2.995676334126303,-3.1385177867951133
-2.9448968228417387,-3.0940754131301946
-2.9321789614690026,-3.049633039465275
-2.891000328229216,-3.005190665800356
-2.794553184327174,-2.960748292135437
-2.8340676920137504,-2.916305918470518
-2.6948796104301755,-2.8718635448055987
-2.659105438985427,-2.8274211711406796
-2.576889493243504,-2.7829787974757605
-2.545563193556322,-2.738536423810842
-2.505762851492303,-2.6940940501459223
-2.4765035446532218,-2.649651676481003
-2.471223746725799,-2.6052093028160836
-2.448946350521645,-2.560766929151165
-2.3336924678306366,-2.5163245554862455
-2.235837192531229,-2.471882181821327
-2.2330641250952925,-2.4274398081564077
-2.184274244542227,-2.382997434491489
-2.1675823481485677,-2.3385550608265695
-2.1383334082520298,-2.294112687161651
-2.104540198295149,-2.2496703134967313
-2.0103178144645093,-2.2052279398318126
-1.9391755455877937,-2.160785566166893
-1.8866368650264875,-2.1163431925019744
-1.8764806785500356,-2.071900818837055
-1.8503384244459637,-2.0274584451721362
-1.8259544933030019,-1.9830160715072165
-1.7261478238558237,-1.9385736978422974
-1.6868779961034797,-1.8941313241773783
-1.6644140862808727,-1.8496889505124596
-1.641210494923568,-1.8052465768475403
-1.6126755332353484,-1.7608042031826214
-1.5840050659698992,-1.7163618295177023
-1.5418830776456662,-1.671919455852783
-1.5014482502878164,-1.6274770821878637
-1.4687247857267307,-1.5830347085229448
-1.4418890795948274,-1.5385923348580257
-1.3451006807746178,-1.4941499611931068
-1.323807479459266,-1.4497075875281875
-1.2943857096827784,-1.4052652138632682
-1.2630990483805031,-1.360822840198349
-1.2335823344628876,-1.3163804665334304
-1.2085448384623947,-1.2719380928685111
-1.1771393324282287,-1.2274957192035922
-1.1390862278314224,-1.183053345538673
-1.116685784146979,-1.1386109718737536
-1.0949778806122685,-1.0941685982088345
-1.0702898872653008,-1.0497262245439158
-1.0393395773441567,-1.0052838508789965
-0.8962754941782616,-0.9608414772140775
-0.6918726529254405,-0.9163991035491584
-0.6417630016894731,-0.8719567298842394
-0.6466135242154621,-0.8275143562193203
-0.5671094749256226,-0.7830719825544014
-0.520504576661029,-0.7386296088894821
-0.4969690826267945,-0.6941872352245626
-0.46527793543119167,-0.6497448615596436
-0.4321200581067441,-0.6053024878947245
-0.4048483608272461,-0.5608601142298054
-0.3766477375283344,-0.5164177405648864
-0.3412764835974666,-0.47197536689996733
-0.2616555092921939,-0.42753299323504845
-0.19321640807054655,-0.38309061957012924
-0.16594807388237479,-0.33864824590521025
-0.11970333317366103,-0.29420587224029116
-0.09946287901531148,-0.24976349857537217
-0.044069864635326736,-0.20532112491045296
-0.0194809555540835,-0.16087875124553402
0.006522327004876633,-0.11643637758061445
0.03359842103986413,-0.07199400391569538
0.06325420238934815,-0.027551630250776272
0.09257095878692354,0.01689074341414286
0.16773325867928796,0.061333117079061784
0.1897300785866111,0.10577549074398071
0.22061776954150483,0.15021786440889995
0.25998423815368416,0.19466023807381894
0.2837038494881887,0.23910261173873815
0.31189424164870266,0.28354498540365697
0.33905376869702086,0.3279873590685761
0.4169097419840771,0.37242973273349517
0.47579046033690847,0.4168721063984142
0.5188990799196703,0.46131448006333375
0.5983017520084745,0.505756853728253
0.6379691364201628,0.5501992273931721
0.6763919443125295,0.5946416010580909
0.6906874274129589,0.6390839747230098
0.7979331186136492,0.6835263483879291
0.8120732742641568,0.7279687220528481
0.866654341249531,0.7724110957177673
0.9262454054667966,0.8168534693826862
0.9509103755840635,0.8612958430476054
1.0078529295143182,0.9057382167125244
1.065386851752539,0.9501805903774435
1.149140725515426,0.9946229640423632
1.0937255610131227,1.0390653377072823
1.2055593010641155,1.0835077113722014
1.2117336135284598,1.1279500850371202
