model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_BestOfFamily_1_AutoML_1_20260315_125337,3.024823646403799,9.149558091843575,2.422029228041126,,9.149558091843575
StackedEnsemble_AllModels_1_AutoML_1_20260315_125337,3.024960746408921,9.150387517314815,2.42085495649044,,9.150387517314815
GBM_grid_1_AutoML_1_20260315_125337_model_1,3.031796000572575,9.19178698908786,2.425483443681279,,9.19178698908786
GBM_grid_1_AutoML_1_20260315_125337_model_2,3.0437814837294304,9.264605720694131,2.4308683434784824,,9.264605720694131
GBM_1_AutoML_1_20260315_125337,3.045715642690904,9.276383776132064,2.436070114043011,,9.276383776132064
GLM_1_AutoML_1_20260315_125337,3.049462781275073,9.299223254381904,2.444135034760897,,9.299223254381904
DeepLearning_grid_1_AutoML_1_20260315_125337_model_1,3.054359630222482,9.329112750732817,2.448186133024579,,9.329112750732817
XGBoost_grid_1_AutoML_1_20260315_125337_model_1,3.057400174017206,9.34769582408044,2.443139892986507,,9.34769582408044
DeepLearning_grid_2_AutoML_1_20260315_125337_model_1,3.0654570554999734,9.397026959114568,2.453650150144635,,9.397026959114568
GBM_5_AutoML_1_20260315_125337,3.066540712289049,9.403671940126229,2.453938935201072,,9.403671940126229
GBM_2_AutoML_1_20260315_125337,3.0700935129482216,9.425474178246752,2.453276485274048,,9.425474178246752
GBM_3_AutoML_1_20260315_125337,3.078179096499435,9.47518655012608,2.4584376984662835,,9.47518655012608
DeepLearning_1_AutoML_1_20260315_125337,3.0863796842846143,9.525739555564796,2.470310429779067,,9.525739555564796
DeepLearning_grid_3_AutoML_1_20260315_125337_model_1,3.095106016421445,9.579681252888228,2.474447594483161,,9.579681252888228
XGBoost_3_AutoML_1_20260315_125337,3.1049560767394206,9.640752238481054,2.484141561817305,,9.640752238481054
GBM_4_AutoML_1_20260315_125337,3.1207408590205707,9.73902350916045,2.490488041215987,,9.73902350916045
DRF_1_AutoML_1_20260315_125337,3.1236656275350136,9.75728695264371,2.497324354435751,,9.75728695264371
XRT_1_AutoML_1_20260315_125337,3.146161717630888,9.898333553486134,2.513828861381464,,9.898333553486134
XGBoost_grid_1_AutoML_1_20260315_125337_model_3,3.27284638311865,10.71152344749283,2.614163546764804,,10.71152344749283
XGBoost_grid_1_AutoML_1_20260315_125337_model_2,3.29615501064794,10.864637854219522,2.6341646444374955,,10.864637854219522
XGBoost_2_AutoML_1_20260315_125337,3.357431802650773,11.27234830945082,2.688934314891373,,11.27234830945082
XGBoost_1_AutoML_1_20260315_125337,3.405501753099525,11.59744219036394,2.717621312220671,,11.59744219036394
