mean_pdp,ground_truth_pdp
-2.2033208649823575,-2.8836812067745248
-2.1923742441525174,-2.845920925840411
-2.1813903244401027,-2.8081606449062977
-2.1703743182793818,-2.7704003639721844
-2.159329037739139,-2.7326400830380706
-2.1482936165325484,-2.6948798021039573
-2.1371850844018407,-2.657119521169844
-2.1352147509924886,-2.61935924023573
-2.1266991544287484,-2.581598959301617
-2.1185780406015153,-2.5438386783675035
-2.107747189122368,-2.5060783974333907
-2.1053301512164073,-2.4683181164992773
-2.103885434850506,-2.430557835565163
-2.0928858382414592,-2.3927975546310507
-2.0746004680066252,-2.3550372736969374
-2.0198406657885024,-2.3172769927628236
-2.0052633562992837,-2.2795167118287107
-1.9837881569172848,-2.241756430894597
-1.9636891886809018,-2.2039961499604837
-1.9511880280130953,-2.1662358690263703
-1.8944596478821885,-2.1284755880922566
-1.87172765418765,-2.0907153071581432
-1.8415842993553684,-2.05295502622403
-1.7095728896995568,-2.015194745289916
-1.6349414329083636,-1.977434464355803
-1.621620994779211,-1.9396741834216897
-1.6139164506582588,-1.9019139024875766
-1.5933764301123594,-1.864153621553463
-1.595422531953359,-1.8263933406193498
-1.5853507599722816,-1.7886330596852364
-1.5291901307537912,-1.7508727787511227
-1.4791090600695007,-1.7131124978170094
-1.455221598793238,-1.675352216882896
-1.4145022328729209,-1.6375919359487827
-1.4002873335872814,-1.5998316550146692
-1.388089711937049,-1.5620713740805559
-1.32517629189399,-1.5243110931464423
-1.2948664293666183,-1.4865508122123294
-1.2879679806079394,-1.4487905312782157
-1.245375010957537,-1.4110302503441023
-1.191512997969925,-1.373269969409989
-1.1658611797840701,-1.3355096884758755
-1.116763529288653,-1.2977494075417624
-1.0637519124794348,-1.2599891266076488
-1.0459749273778067,-1.2222288456735353
-1.0016293358231316,-1.184468564739422
-0.9432849584027413,-1.1467082838053086
-0.9301989495773284,-1.1089480028711953
-0.8726650798912311,-1.071187721937082
-0.8511322899391813,-1.0334274410029687
-0.8145602456838433,-0.995667160068855
-0.7383529741742404,-0.9579068791347416
-0.7046011961684387,-0.9201465982006284
-0.6960844102046203,-0.882386317266515
-0.6604516090735709,-0.8446260363324014
-0.6284852949906378,-0.8068657553982883
-0.5617598050731147,-0.769105474464175
-0.5355013462604489,-0.7313451935300613
-0.5096675361442835,-0.6935849125959483
-0.5268837315143032,-0.6558246316618347
-0.4064942063234227,-0.6180643507277215
-0.37974446584136107,-0.5803040697936078
-0.34186702097032656,-0.5425437888594945
-0.3604771420901499,-0.5047835079253812
-0.28594780022280136,-0.4670232269912678
-0.2119464990876931,-0.4292629460571545
-0.19262484665391125,-0.3915026651230412
-0.13875552262576485,-0.3537423841889276
-0.09750905086617295,-0.3159821032548143
-0.0693702292323079,-0.2782218223207012
-0.056570721282104004,-0.24046154138658735
0.014524846736371689,-0.20270126045247422
-0.0007944565737107325,-0.16494097951836084
-0.021376520145555793,-0.12718069858424705
0.007971732476417191,-0.08942041765013391
0.022452524120830306,-0.051660136716020544
0.07073052676760291,-0.013899855781907229
0.12069125687700852,0.023860425152205905
0.1302470758222939,0.061620706086319706
0.14071307597189328,0.09938098702043305
0.16005215015969204,0.13714126795454598
0.19663882186498816,0.17490154888865975
0.2084266843136423,0.21266182982277315
0.22909419224713334,0.25042211075688653
0.2378923656568513,0.2881823916909998
0.23848613004788136,0.32594267262511323
0.24375503867853177,0.363702953559227
0.2481712704652616,0.40146323449334037
0.25364390352833666,0.4392235154274533
0.25880448234141107,0.4769837963615666
0.2639027518054356,0.51474407729568
0.26894158493699843,0.5525043582297929
0.2739303992161638,0.590264639163907
0.27886247932830116,0.6280249200980205
0.2837493642025745,0.6657852010321338
0.2885840925751106,0.7035454819662471
0.2933640912723651,0.7413057629003605
0.2981022424554754,0.7790660438344739
0.30280088281531037,0.8168263247685869
0.30746021928733247,0.8545866057027001
