mean_pdp,ground_truth_pdp
-4.464276845818461,-1.76404326972402
-4.446499629249122,-1.9969910464096097
-4.428769099877351,-2.2194798835244622
-4.411084390836439,-2.431509781068579
-4.393987975354772,-2.6330807390419597
-4.387823437607923,-2.824192757444605
-4.37047126981786,-3.0048458362765142
-4.3571449737223205,-3.175039975537685
-4.338663496892284,-3.334775175228122
-4.3361270944592185,-3.484051435347824
-4.299171620784628,-3.622868755896789
-4.28402453649239,-3.751227136875019
-4.27271022063995,-3.8691265782825126
-4.229663749291416,-3.9765670801192705
-4.222318947667163,-4.073548642385292
-4.207463057533896,-4.160071265080577
-4.2346578024626655,-4.236134948205127
-4.286027314749019,-4.301739691758941
-4.280325629958914,-4.35688549574202
-4.316217655318378,-4.401572360154362
-4.337221658032538,-4.435800284995968
-4.322544257749923,-4.459569270266838
-4.309520612633121,-4.472879315966972
-4.261290019455991,-4.475730422096372
-4.2612752647534275,-4.468122588655034
-4.186634438679484,-4.450055815642961
-4.162158971767614,-4.421530103060152
-4.277516766966646,-4.382545450906606
-4.093707471415093,-4.3331018591823245
-4.02155842841046,-4.2731993278873075
-4.092794081861554,-4.202837857021556
-4.056319458609832,-4.122017446585066
-3.888982735266118,-4.030738096577841
-3.772278664061804,-3.928999806999881
-3.6666047179586356,-3.8168025778511843
-3.581718361192383,-3.6941464091317515
-3.370647528056974,-3.561031300841584
-3.277175955868057,-3.4174572529806793
-3.065014437906927,-3.2634242655490393
-2.953771037410558,-3.098932338546663
-2.7610581614118495,-2.923981471973551
-2.577220252064587,-2.7385716658297032
-2.286443607435624,-2.542702920115119
-2.265139139762864,-2.3363752348297995
-1.905535496738447,-2.1195886099737438
-1.7770266496190847,-1.8923430455469523
-1.465277738978086,-1.6546385415494245
-1.2061214696062952,-1.4064750979811613
-0.9551127772109638,-1.1478527148421636
-0.8033777656732903,-0.8787713921324285
-0.6730728798715734,-0.5992311298519573
-0.2927054946658909,-0.30923192800075017
-0.009958488522512757,-0.008773786578807346
0.37172934892941684,0.30214329441387144
0.6798396973457826,0.623519314977286
1.0026502195901246,0.9553542751114368
1.2697273357510632,1.2976481748163236
1.408482946954033,1.6504010140919458
2.1112786495287676,2.013612792938304
2.520997697603617,2.387283511355398
2.7971510001063713,2.771413169343229
3.0930442234880253,3.166001766901795
3.490677364830847,3.5710493040310967
3.8539813261607367,3.986555780731135
4.194443021466786,4.412521197001909
4.707993022501845,4.848945552843418
5.304987961465928,5.295828848255664
5.465982916604783,5.753171083238647
5.854519291002458,6.220972257792363
6.656152195767473,6.699232371916817
6.99505741093223,7.187951425612005
7.26604057311425,7.687129418877931
7.603417969107247,8.196766351714594
8.819341428556394,8.71686222412199
9.368428605397286,9.247417036100122
10.025502009498261,9.788430787648991
10.062082266591506,10.339903478768596
10.400468750717259,10.901835109458936
10.78449038391038,11.474225679720016
11.647309362251997,12.057075189551824
12.09736966295283,12.650383638954375
12.299099585446653,13.254151027927659
12.623851371939685,13.86837735647168
12.86858254810117,14.493062624586434
12.955786086651287,15.128206832271925
13.193411963653189,15.773809979528155
13.31533875042019,16.429872066355117
13.403170548819514,17.096393092752823
13.516329661047832,17.773373058721255
13.71031080779538,18.460811964260426
14.025816541277523,19.158709809370333
14.09755103217882,19.867066594050975
14.169158828766165,20.585882318302357
14.241572605890063,21.31515698212447
14.312936241675773,22.054890585517324
14.384186129015553,22.80508312848091
14.455323921623876,23.565734611015227
14.526352962475778,24.336845033120284
14.59727717394159,25.118414394796076
14.668099959440008,25.910442696042608
