model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_1_20260316_15843_model_2,2.047521984106389,4.192346275398964,1.6282440492698858,,4.192346275398964
DeepLearning_grid_1_AutoML_1_20260316_15843_model_4,2.051664015616561,4.209325232975875,1.6316304862937807,,4.209325232975875
GBM_5_AutoML_1_20260316_15843,2.053634069426081,4.217412891107527,1.630462507042514,,4.217412891107527
GBM_1_AutoML_1_20260316_15843,2.057031983495217,4.231380581122269,1.6307351062492792,,4.231380581122269
DeepLearning_grid_1_AutoML_1_20260316_15843_model_1,2.063249917427637,4.257000221765151,1.6354423948069423,,4.257000221765151
GBM_grid_1_AutoML_1_20260316_15843_model_7,2.064429121620283,4.261867598193892,1.639631018106256,,4.261867598193892
GBM_2_AutoML_1_20260316_15843,2.0669430900019408,4.27225373730677,1.6446225591583727,,4.27225373730677
GBM_grid_1_AutoML_1_20260316_15843_model_2,2.0671866769420344,4.273260757326651,1.6378985321088302,,4.273260757326651
XGBoost_grid_1_AutoML_1_20260316_15843_model_1,2.0756541393390737,4.308340106155431,1.644885325139272,,4.308340106155431
GBM_grid_1_AutoML_1_20260316_15843_model_3,2.078396083461265,4.319730279747126,1.6520809004515984,,4.319730279747126
GBM_grid_1_AutoML_1_20260316_15843_model_1,2.083550745899156,4.341183710736929,1.6514883631865591,,4.341183710736929
DeepLearning_1_AutoML_1_20260316_15843,2.0851009292886364,4.347645885320335,1.6597740519173063,,4.347645885320335
XGBoost_3_AutoML_1_20260316_15843,2.08630101265574,4.352651915408368,1.6601822535704995,,4.352651915408368
GBM_3_AutoML_1_20260316_15843,2.087599365350413,4.358071110211449,1.6624336320118656,,4.358071110211449
GBM_grid_1_AutoML_1_20260316_15843_model_4,2.087779188116428,4.358821938332092,1.6530200361491942,,4.358821938332092
XGBoost_grid_1_AutoML_1_20260316_15843_model_8,2.105041541496376,4.43119989142544,1.666295855597942,,4.43119989142544
DRF_1_AutoML_1_20260316_15843,2.125998401212251,4.519869201957048,1.687862176921573,,4.519869201957048
DeepLearning_grid_1_AutoML_1_20260316_15843_model_3,2.12862361211714,4.5310384820626215,1.6881978953661396,,4.5310384820626215
GBM_grid_1_AutoML_1_20260316_15843_model_5,2.129821712763942,4.536140528160732,1.6849859284992723,,4.536140528160732
XGBoost_grid_1_AutoML_1_20260316_15843_model_11,2.131267485173442,4.542301093357529,1.6914401585573098,,4.542301093357529
GBM_4_AutoML_1_20260316_15843,2.136313553534042,4.563835599013246,1.6989917039291795,,4.563835599013246
XGBoost_grid_1_AutoML_1_20260316_15843_model_5,2.1765309862169957,4.737287133962726,1.7300639371024211,,4.737287133962726
XGBoost_grid_1_AutoML_1_20260316_15843_model_3,2.208806971038144,4.8788282353067,1.7597200725168338,,4.8788282353067
XGBoost_grid_1_AutoML_1_20260316_15843_model_7,2.2100916107441555,4.8845049278816965,1.7573001825929386,,4.8845049278816965
XGBoost_grid_1_AutoML_1_20260316_15843_model_9,2.2112376927210904,4.889572133710492,1.7598538974310738,,4.889572133710492
XGBoost_grid_1_AutoML_1_20260316_15843_model_4,2.212274925717993,4.894160346960551,1.7510730502794614,,4.894160346960551
XGBoost_grid_1_AutoML_1_20260316_15843_model_2,2.246577824693562,5.047111922404858,1.7818504503362114,,5.047111922404858
XGBoost_2_AutoML_1_20260316_15843,2.27019072428633,5.153765924635692,1.8090724135902243,,5.153765924635692
XGBoost_grid_1_AutoML_1_20260316_15843_model_10,2.271455964768228,5.159512199881162,1.7996734300159267,,5.159512199881162
XRT_1_AutoML_1_20260316_15843,2.2814578059320447,5.20504972024826,1.809869287814794,,5.20504972024826
XGBoost_1_AutoML_1_20260316_15843,2.307505377843489,5.324581068776623,1.83342530343344,,5.324581068776623
XGBoost_grid_1_AutoML_1_20260316_15843_model_6,2.4071185820649323,5.7942198681222905,1.9103460811763304,,5.7942198681222905
GLM_1_AutoML_1_20260316_15843,2.427237274542331,5.891480786927684,1.898912128079585,,5.891480786927684
GBM_grid_1_AutoML_1_20260316_15843_model_6,3.3894419590478684,11.488316793754253,2.6737899681074087,,11.488316793754253
