mean_pdp,ground_truth_pdp
-0.5486914351771774,-0.768523276652657
-0.5749878389762542,-0.8098145500009688
-0.6010266783248416,-0.8479544772529065
-0.6267971775519366,-0.8833901579880178
-0.6523015239713684,-0.9164798130836481
-0.6775381871062808,-0.9475148853393006
-0.7025211127237266,-0.9767356708734496
-0.7272485976892035,-1.0043426285423969
-0.7517296833179866,-1.0305047265446545
-0.7759512703521263,-1.0553657114486032
-0.7999094691649055,-1.079048890887844
-0.8235936085870091,-1.1016608337244034
-0.8470103778895495,-1.1232942690186352
-0.8701641914723223,-1.1440303833712937
-0.8930574268541561,-1.1639406605138896
-0.9157082166524946,-1.1830883684156135
-0.9381230713302382,-1.2015297719715197
-0.9602797075759362,-1.2193151298820961
-0.9821790688213776,-1.2364895202307544
-1.003829543941461,-1.2530935289122227
-1.0252415123260334,-1.2691638273756143
-1.0463971520926036,-1.284733660373688
-1.0673291694573337,-1.2998332600330817
-1.0880287541978895,-1.3144901992106535
-1.1084823711017358,-1.3287296945150353
-1.128727312311813,-1.3425748673596893
-1.1487465383707525,-1.3560469698350297
-1.1685560843785745,-1.3691655809400272
-1.188167940705721,-1.3819487777217252
-1.2075896299240578,-1.394413285077082
-1.2267999499473012,-1.4065746073320802
-1.2458227564306636,-1.4184471441950972
-1.2646472319802318,-1.4300442932597504
-1.2832578574391087,-1.4413785408871427
-1.301660219625339,-1.452461543013415
-1.319888365605307,-1.4633041971937772
-1.3379468438050401,-1.4739167069993278
-1.3558318569248353,-1.4843086397205094
-1.3735530795484006,-1.494488978195078
-1.3910989476890867,-1.504466167464184
-1.4084795132776955,-1.514248156863786
-1.4256863397510808,-1.5238424380770383
-1.4427419234116898,-1.5332560796040025
-1.4596488393096847,-1.5424957580459868
-1.4764109279890163,-1.5515677865513517
-1.4930265975379906,-1.560478140726336
-1.509500310728147,-1.5692324822772574
-1.5258432718806734,-1.5778361806183436
-1.5420413560378874,-1.5862943326517096
-1.5581013832975765,-1.5946117809019462
-1.574024093630309,-1.6027931301668827
-1.5898145174595126,-1.6108427628278696
-1.6054798462202255,-1.6187648529470315
-1.6210110567199245,-1.626563379265033
-1.6364185347700932,-1.6342421372006655
-1.6517093110662666,-1.6418047499428667
-1.6668824817655492,-1.6492546787163112
-1.6819536243872546,-1.656595232293378
-1.6969199558719512,-1.663829575817928
-1.7117707284829757,-1.6709607389997887
-1.7265109209014506,-1.6779916237330417
-1.7411450812997973,-1.6849250111860627
-1.755678035751992,-1.6917635684066663
-1.7700987447134706,-1.6985098544816104
-1.7844209259362607,-1.705166326286068
-1.7986541694405416,-1.7117353438553815
-1.8127893888165199,-1.7182191754085012
-1.8268177537170038,-1.724620002049858
-1.8407629700601915,-1.730939922174056
-1.8546149047825504,-1.7371809555956566
-1.8683877315482975,-1.7433450474243761
-1.8820599626679264,-1.7494340717043069
-1.8956349600415174,-1.7554498348342022
-1.9091197610118626,-1.761394078784433
-1.9225108901107841,-1.7672684841249604
-1.9358149390618147,-1.7730746728774862
-1.9490328913606632,-1.7788142112038943
-1.9621601659477095,-1.784488611942131
-1.975200651224757,-1.7900993369997953
-1.9881506035749836,-1.7956477996149158
-2.0010231343239977,-1.8011353664926595
-2.0138151460599962,-1.8065633598260538
-2.026512847727499,-1.8119330592081955
-2.039124791232723,-1.817245703442868
-2.0516387240902483,-1.8225024922599729
-2.064067857670997,-1.827704587941718
-2.076411655882893,-1.8328531168650777
-2.088676119007749,-1.8379491709656464
-2.100859362419287,-1.8429938091276385
-2.11296084973987,-1.8479880585044703
-2.1249936943705943,-1.8529329157740373
-2.136948044384191,-1.8578293483325201
-2.1488167479488562,-1.8626782954303083
-2.1606113021438103,-1.8674806692533656
-2.1723319130947853,-1.8722373559531589
-2.1839739299906227,-1.8769492166280533
-2.1955398661169925,-1.8816170882588998
-2.2070169516121028,-1.8862417846013493
-2.2184018362727045,-1.8908240970372783
-2.2297073533881115,-1.8953647953875516
