mean_pdp,ground_truth_pdp
-0.9620720490371072,-0.768523276652657
-0.9871646561591905,-0.8098145500009688
-1.0119720101260203,-0.8479544772529065
-1.0364586011859278,-0.8833901579880178
-1.0606000133194942,-0.9164798130836481
-1.0843981237648974,-0.9475148853393006
-1.107882016390895,-0.9767356708734496
-1.1310625753549786,-1.0043426285423969
-1.1538857657915906,-1.0305047265446545
-1.1763600301771482,-1.0553657114486032
-1.1984582988883183,-1.079048890887844
-1.2201884233021547,-1.1016608337244034
-1.241541243724031,-1.1232942690186352
-1.2625081133683551,-1.1440303833712937
-1.283087672416621,-1.1639406605138896
-1.3032533744698105,-1.1830883684156135
-1.323009952496709,-1.2015297719715197
-1.3423494827432847,-1.2193151298820961
-1.3612620435580185,-1.2364895202307544
-1.3797400112980465,-1.2530935289122227
-1.397829460318109,-1.2691638273756143
-1.4154956580916351,-1.284733660373688
-1.4327301681495828,-1.2998332600330817
-1.4495349326914089,-1.3144901992106535
-1.4659163897050116,-1.3287296945150353
-1.4818585369456183,-1.3425748673596893
-1.4973341706479284,-1.3560469698350297
-1.5123695122909244,-1.3691655809400272
-1.5269822408521152,-1.3819487777217252
-1.5412071525700088,-1.394413285077082
-1.5549927356318025,-1.4065746073320802
-1.5683727858996488,-1.4184471441950972
-1.5813458161404776,-1.4300442932597504
-1.5939045238496372,-1.4413785408871427
-1.606066009890939,-1.452461543013415
-1.617832325810513,-1.4633041971937772
-1.6292353390864966,-1.4739167069993278
-1.640278419494629,-1.4843086397205094
-1.6509516982999033,-1.494488978195078
-1.6612381819415267,-1.504466167464184
-1.671137687640232,-1.514248156863786
-1.6806486666886273,-1.5238424380770383
-1.68976902605606,-1.5332560796040025
-1.6985264497246177,-1.5424957580459868
-1.706957803814888,-1.5515677865513517
-1.715075398322362,-1.560478140726336
-1.7229094175017103,-1.5692324822772574
-1.7304510756568467,-1.5778361806183436
-1.7376926065338725,-1.5862943326517096
-1.7446217428165296,-1.5946117809019462
-1.7512480686373528,-1.6027931301668827
-1.7575590139914548,-1.6108427628278696
-1.7635913375062948,-1.6187648529470315
-1.7693457938961121,-1.626563379265033
-1.7748262813912303,-1.6342421372006655
-1.7800042755112917,-1.6418047499428667
-1.7848993038913312,-1.6492546787163112
-1.7895082651477845,-1.656595232293378
-1.793848314950996,-1.663829575817928
-1.7979093792565137,-1.6709607389997887
-1.8016936457702981,-1.6779916237330417
-1.8052481091182955,-1.6849250111860627
-1.80855145049196,-1.6917635684066663
-1.8116074002363385,-1.6985098544816104
-1.8144271606269762,-1.705166326286068
-1.8169922012619955,-1.7117353438553815
-1.8193343169817469,-1.7182191754085012
-1.821411763499097,-1.724620002049858
-1.8232573058447654,-1.730939922174056
-1.824866137384032,-1.7371809555956566
-1.8262376119537418,-1.7433450474243761
-1.827379389054609,-1.7494340717043069
-1.8282866181578465,-1.7554498348342022
-1.8289630733520403,-1.761394078784433
-1.829417262158707,-1.7672684841249604
-1.829665725726894,-1.7730746728774862
-1.8297292136852352,-1.7788142112038943
-1.8296020433669267,-1.784488611942131
-1.8292897948465965,-1.7900993369997953
-1.8287993919648324,-1.7956477996149158
-1.828130529256396,-1.8011353664926595
-1.8272793910182605,-1.8065633598260538
-1.8262137786228638,-1.8119330592081955
-1.8249442262486613,-1.817245703442868
-1.8234701636019444,-1.8225024922599729
-1.8217955632854559,-1.827704587941718
-1.8199234047167512,-1.8328531168650777
-1.8178579148551253,-1.8379491709656464
-1.8155976783996135,-1.8429938091276385
-1.8131213621821713,-1.8479880585044703
-1.8104354270261371,-1.8529329157740373
-1.8075482256387936,-1.8578293483325201
-1.8044404133952003,-1.8626782954303083
-1.8011212083184154,-1.8674806692533656
-1.7975989407994224,-1.8722373559531589
-1.7938778738741712,-1.8769492166280533
-1.789930802473094,-1.8816170882588998
-1.785771008542591,-1.8862417846013493
-1.7813987837357337,-1.8908240970372783
-1.7768250035640198,-1.8953647953875516
