model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_1_20260316_183031,3.0249060112478494,9.150056376883375,2.4197753949091387,,9.150056376883375
StackedEnsemble_BestOfFamily_1_AutoML_1_20260316_183031,3.0266850915851027,9.16082264362352,2.422157703241334,,9.16082264362352
DeepLearning_grid_1_AutoML_1_20260316_183031_model_4,3.0393447646207146,9.237616598227348,2.433500466033833,,9.237616598227348
DeepLearning_grid_1_AutoML_1_20260316_183031_model_2,3.040512287350941,9.244714969532051,2.4336019860291804,,9.244714969532051
DeepLearning_grid_1_AutoML_1_20260316_183031_model_1,3.0523586158991547,9.316893120053804,2.4412868003722457,,9.316893120053804
XGBoost_grid_1_AutoML_1_20260316_183031_model_1,3.0731299035466275,9.444127404072503,2.457345495670592,,9.444127404072503
DeepLearning_1_AutoML_1_20260316_183031,3.07704952974816,9.46823380852337,2.4548845916821285,,9.46823380852337
GBM_1_AutoML_1_20260316_183031,3.077245240305992,9.469438268985884,2.4600998289359297,,9.469438268985884
GBM_grid_1_AutoML_1_20260316_183031_model_4,3.0820064310379696,9.4987636409594,2.4624977644039454,,9.4987636409594
GBM_grid_1_AutoML_1_20260316_183031_model_2,3.0820134734313376,9.4988070504123,2.463769119462773,,9.4988070504123
GBM_5_AutoML_1_20260316_183031,3.083723511114844,9.50935069300246,2.466240840926639,,9.50935069300246
GBM_grid_1_AutoML_1_20260316_183031_model_1,3.085142853346249,9.518106425553436,2.467703796298465,,9.518106425553436
DeepLearning_grid_1_AutoML_1_20260316_183031_model_3,3.088287412688764,9.53751914337186,2.4681732885481527,,9.53751914337186
GBM_grid_1_AutoML_1_20260316_183031_model_7,3.0901626050414275,9.54910492559642,2.472905139642563,,9.54910492559642
GBM_2_AutoML_1_20260316_183031,3.0981666586867087,9.598636644997963,2.477849974795176,,9.598636644997963
GBM_grid_1_AutoML_1_20260316_183031_model_3,3.1089669388228085,9.665675426693264,2.4881935160569904,,9.665675426693264
XGBoost_3_AutoML_1_20260316_183031,3.116505556511328,9.712606883765984,2.4960855401881736,,9.712606883765984
DeepLearning_grid_2_AutoML_1_20260316_183031_model_1,3.117260454106527,9.71731273873643,2.4938184931354823,,9.71731273873643
GBM_3_AutoML_1_20260316_183031,3.1174056584062666,9.718218039063409,2.4923393353790244,,9.718218039063409
XGBoost_grid_1_AutoML_1_20260316_183031_model_8,3.128105380063272,9.785043268780784,2.500412601559027,,9.785043268780784
GBM_grid_1_AutoML_1_20260316_183031_model_5,3.1327182636781536,9.813923719582666,2.5042207040390387,,9.813923719582666
DeepLearning_grid_2_AutoML_1_20260316_183031_model_2,3.155998719377332,9.960327916711362,2.5223909480191526,,9.960327916711362
XGBoost_grid_1_AutoML_1_20260316_183031_model_11,3.160405059275857,9.988160138696434,2.531680720985937,,9.988160138696434
GBM_4_AutoML_1_20260316_183031,3.165996156932384,10.023531665710626,2.5299116231962486,,10.023531665710626
DRF_1_AutoML_1_20260316_183031,3.16815250396785,10.037190288397758,2.5262273495273466,,10.037190288397758
XGBoost_grid_1_AutoML_1_20260316_183031_model_5,3.2437376980665005,10.521834253857758,2.589936378876469,,10.521834253857758
XRT_1_AutoML_1_20260316_183031,3.2609711373116146,10.633932758379403,2.607774217921826,,10.633932758379403
DeepLearning_grid_3_AutoML_1_20260316_183031_model_1,3.275120383338979,10.72641352536246,2.616041124535493,,10.72641352536246
XGBoost_grid_1_AutoML_1_20260316_183031_model_4,3.2926162797432603,10.841321965630348,2.629543490063073,,10.841321965630348
GLM_1_AutoML_1_20260316_183031,3.3009675994556185,10.89638709265579,2.620510470837295,,10.89638709265579
XGBoost_grid_1_AutoML_1_20260316_183031_model_3,3.306847575581477,10.935240888129096,2.643412689485296,,10.935240888129096
XGBoost_grid_1_AutoML_1_20260316_183031_model_9,3.318380734877452,11.011650701605816,2.6453103769647424,,11.011650701605816
XGBoost_grid_1_AutoML_1_20260316_183031_model_7,3.3216391124811184,11.033286393564351,2.655588959336584,,11.033286393564351
XGBoost_grid_1_AutoML_1_20260316_183031_model_2,3.3439309491914013,11.181874192960104,2.6692577074302126,,11.181874192960104
DeepLearning_grid_3_AutoML_1_20260316_183031_model_2,3.36181738932838,11.301816159190684,2.688851153608963,,11.301816159190684
XGBoost_2_AutoML_1_20260316_183031,3.3918508158692715,11.504651957113042,2.705626994822384,,11.504651957113042
XGBoost_grid_1_AutoML_1_20260316_183031_model_10,3.4174625061464874,11.67904998091703,2.7213407511445,,11.67904998091703
XGBoost_1_AutoML_1_20260316_183031,3.4494455434776228,11.898674557417634,2.7545127768789186,,11.898674557417634
XGBoost_grid_1_AutoML_1_20260316_183031_model_6,3.474854560030173,12.074614213362487,2.767714325911575,,12.074614213362487
DeepLearning_grid_2_AutoML_1_20260316_183031_model_3,3.98356403853576,15.868782449115328,3.173788496168499,,15.868782449115328
DeepLearning_grid_3_AutoML_1_20260316_183031_model_3,4.070994698443241,16.57299783475297,3.235985773213439,,16.57299783475297
GBM_grid_1_AutoML_1_20260316_183031_model_6,4.101104558466792,16.819058599477106,3.266146903475762,,16.819058599477106
