model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_1_20260317_151209_model_2,3.076052187307429,9.462097059038818,2.46678533457335,,9.462097059038818
DeepLearning_grid_1_AutoML_1_20260317_151209_model_1,3.083963553593816,9.510831199894996,2.467839881973816,,9.510831199894996
GBM_grid_1_AutoML_1_20260317_151209_model_8,3.1076887094025434,9.657729114548046,2.4894006073509627,,9.657729114548046
XGBoost_grid_1_AutoML_1_20260317_151209_model_1,3.115307372194704,9.70514002325067,2.499037996828658,,9.70514002325067
XGBoost_grid_1_AutoML_1_20260317_151209_model_23,3.1229767225688683,9.75298360970699,2.5005283279106605,,9.75298360970699
GBM_1_AutoML_1_20260317_151209,3.125327990686108,9.76767504936606,2.4981679501827805,,9.76767504936606
GBM_grid_1_AutoML_1_20260317_151209_model_2,3.129344692490021,9.792798204415462,2.502025448565062,,9.792798204415462
GBM_2_AutoML_1_20260317_151209,3.1294567806606333,9.793499742022814,2.502041181050646,,9.793499742022814
XGBoost_grid_1_AutoML_1_20260317_151209_model_25,3.133863957033969,9.821103301196606,2.5089546206359867,,9.821103301196606
GBM_5_AutoML_1_20260317_151209,3.13387853239841,9.821194655827613,2.509847265983688,,9.821194655827613
GBM_grid_1_AutoML_1_20260317_151209_model_9,3.138891143888572,9.852637613182104,2.5150707425200567,,9.852637613182104
GBM_grid_1_AutoML_1_20260317_151209_model_7,3.1389459946354585,9.852981957237988,2.5146454279036536,,9.852981957237988
GBM_grid_1_AutoML_1_20260317_151209_model_16,3.1398450747034183,9.858627093139312,2.5108282273243416,,9.858627093139312
GBM_grid_1_AutoML_1_20260317_151209_model_10,3.143012979633628,9.878530590145456,2.5172882445985283,,9.878530590145456
GBM_grid_1_AutoML_1_20260317_151209_model_3,3.153338255421077,9.94354215310204,2.522165268364311,,9.94354215310204
XGBoost_grid_1_AutoML_1_20260317_151209_model_24,3.1569987691054906,9.966641228133582,2.524394872972771,,9.966641228133582
GBM_3_AutoML_1_20260317_151209,3.158350322785235,9.9751767614376,2.5286062708831847,,9.9751767614376
DeepLearning_1_AutoML_1_20260317_151209,3.1626047148344707,10.002068582293225,2.5276418909011755,,10.002068582293225
GBM_grid_1_AutoML_1_20260317_151209_model_17,3.176446256934441,10.089810823192822,2.5420834356142383,,10.089810823192822
XGBoost_grid_1_AutoML_1_20260317_151209_model_8,3.1788551548810853,10.10512009571405,2.540230550376122,,10.10512009571405
DeepLearning_grid_1_AutoML_1_20260317_151209_model_3,3.180627266741431,10.116389809939063,2.548996011722256,,10.116389809939063
GBM_grid_1_AutoML_1_20260317_151209_model_4,3.1817312094422903,10.123413489139098,2.5431343078300546,,10.123413489139098
XGBoost_3_AutoML_1_20260317_151209,3.1850413093091,10.144488142005423,2.552745721470023,,10.144488142005423
GBM_grid_1_AutoML_1_20260317_151209_model_15,3.1852403136697327,10.145755855826856,2.545807047180985,,10.145755855826856
GBM_grid_1_AutoML_1_20260317_151209_model_14,3.187267735209471,10.15867561590731,2.544791247183531,,10.15867561590731
XGBoost_grid_1_AutoML_1_20260317_151209_model_19,3.193602394905023,10.1990962567431,2.5511958731517663,,10.1990962567431
XGBoost_grid_1_AutoML_1_20260317_151209_model_18,3.1949285294318948,10.20756830817785,2.5588638674048765,,10.20756830817785
XGBoost_grid_1_AutoML_1_20260317_151209_model_26,3.1969040779524813,10.220195683629203,2.557895093141415,,10.220195683629203
GBM_grid_1_AutoML_1_20260317_151209_model_13,3.198332283689667,10.22932939689156,2.563111938956282,,10.22932939689156
GBM_4_AutoML_1_20260317_151209,3.199014367622022,10.233692924252123,2.556888020754658,,10.233692924252123
XGBoost_grid_1_AutoML_1_20260317_151209_model_16,3.1998811200450907,10.239239182421024,2.559894713333447,,10.239239182421024
GBM_grid_1_AutoML_1_20260317_151209_model_12,3.203127690614499,10.260027002381374,2.565953032864965,,10.260027002381374
XGBoost_grid_1_AutoML_1_20260317_151209_model_13,3.205543928859352,10.27551187984705,2.5567834349861487,,10.27551187984705
