model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260318_43422_model_1,3.031796000572575,9.19178698908786,2.425483443681279,,9.19178698908786
GBM_grid_1_AutoML_1_20260318_43422_model_12,3.033735349760461,9.203550172386228,2.427902015749227,,9.203550172386228
GBM_grid_1_AutoML_1_20260318_43422_model_4,3.0350863957185,9.211749429475516,2.427627432766069,,9.211749429475516
XGBoost_grid_1_AutoML_1_20260318_43422_model_24,3.03578453929341,9.215987769012902,2.428444981286044,,9.215987769012902
GBM_grid_1_AutoML_1_20260318_43422_model_9,3.04050547657335,9.244673553072536,2.4321739779388896,,9.244673553072536
GBM_grid_1_AutoML_1_20260318_43422_model_13,3.043707650237029,9.264156260111418,2.4350382992155226,,9.264156260111418
GBM_grid_1_AutoML_1_20260318_43422_model_2,3.0437814837294304,9.264605720694131,2.4308683434784824,,9.264605720694131
GBM_1_AutoML_1_20260318_43422,3.045715642690904,9.276383776132064,2.436070114043011,,9.276383776132064
GBM_grid_1_AutoML_1_20260318_43422_model_8,3.0457678829665333,9.276701996910438,2.437696847338047,,9.276701996910438
GBM_grid_1_AutoML_1_20260318_43422_model_10,3.045851795506481,9.277213160190051,2.434761915894956,,9.277213160190051
XGBoost_grid_1_AutoML_1_20260318_43422_model_25,3.047103770462555,9.28484138796712,2.4360854471625264,,9.28484138796712
GLM_1_AutoML_1_20260318_43422,3.049462781275073,9.299223254381904,2.444135034760897,,9.299223254381904
DeepLearning_grid_1_AutoML_1_20260318_43422_model_1,3.054143766851779,9.327794148599573,2.447784291030696,,9.327794148599573
DeepLearning_grid_1_AutoML_1_20260318_43422_model_9,3.054791953436642,9.331753878781257,2.4470029029366507,,9.331753878781257
DeepLearning_grid_1_AutoML_1_20260318_43422_model_7,3.055646408318726,9.336974972671126,2.4476100683550728,,9.336974972671126
DeepLearning_grid_1_AutoML_1_20260318_43422_model_5,3.0571544298114155,9.346193207715562,2.4485800469279138,,9.346193207715562
XGBoost_grid_1_AutoML_1_20260318_43422_model_1,3.057400174017206,9.34769582408044,2.443139892986507,,9.34769582408044
DeepLearning_grid_1_AutoML_1_20260318_43422_model_6,3.059355128313463,9.359653801137886,2.450449231158548,,9.359653801137886
GBM_grid_1_AutoML_1_20260318_43422_model_7,3.06025337590194,9.36515072471922,2.450339840877289,,9.36515072471922
DeepLearning_grid_1_AutoML_1_20260318_43422_model_2,3.0614785455081144,9.37265088460648,2.4541148266683543,,9.37265088460648
XGBoost_grid_1_AutoML_1_20260318_43422_model_23,3.063952974402244,9.387807829348356,2.445758606432084,,9.387807829348356
GBM_5_AutoML_1_20260318_43422,3.066540712289049,9.403671940126229,2.453938935201072,,9.403671940126229
DeepLearning_grid_1_AutoML_1_20260318_43422_model_4,3.067261752036525,9.408094655506172,2.456061203059849,,9.408094655506172
DeepLearning_grid_2_AutoML_1_20260318_43422_model_1,3.0673698539372567,9.408757820843068,2.455356850328889,,9.408757820843068
GBM_2_AutoML_1_20260318_43422,3.0700935129482216,9.425474178246752,2.453276485274048,,9.425474178246752
DeepLearning_1_AutoML_1_20260318_43422,3.0722328714896427,9.438614816661495,2.4580781312197555,,9.438614816661495
DeepLearning_grid_1_AutoML_1_20260318_43422_model_3,3.07612997334085,9.46257561288598,2.4634244718728877,,9.46257561288598
XGBoost_grid_1_AutoML_1_20260318_43422_model_8,3.077529192220829,9.47118592897139,2.4589054659964957,,9.47118592897139
GBM_3_AutoML_1_20260318_43422,3.078179096499435,9.47518655012608,2.4584376984662835,,9.47518655012608
GBM_grid_1_AutoML_1_20260318_43422_model_16,3.0786332790606306,9.47798286693961,2.461697925865578,,9.47798286693961
GBM_grid_1_AutoML_1_20260318_43422_model_5,3.0790905232470056,9.48079845034952,2.4624849587637097,,9.48079845034952
GBM_grid_1_AutoML_1_20260318_43422_model_3,3.080814194967118,9.491416103910892,2.466700154919937,,9.491416103910892
GBM_grid_1_AutoML_1_20260318_43422_model_11,3.0881492369994072,9.53666570998002,2.4641954963783297,,9.53666570998002
DeepLearning_grid_2_AutoML_1_20260318_43422_model_2,3.0958302667797617,9.58416504070965,2.474786787328493,,9.58416504070965
GBM_grid_1_AutoML_1_20260318_43422_model_17,3.101436903292623,9.618910865105336,2.4830667016650803,,9.618910865105336
XGBoost_3_AutoML_1_20260318_43422,3.1049560767394206,9.640752238481054,2.484141561817305,,9.640752238481054
XGBoost_grid_1_AutoML_1_20260318_43422_model_11,3.107583775810288,9.657076923679329,2.483488173663526,,9.657076923679329
GBM_grid_1_AutoML_1_20260318_43422_model_15,3.108016851589681,9.659768749765435,2.485488773248777,,9.659768749765435
