mean_pdp,ground_truth_pdp
-3.093740886998875,-3.9324518373924664
-3.093740886998875,-3.81662368494584
-3.093740886998875,-3.700795532499213
-3.093740886998875,-3.5849673800525883
-3.093740886998875,-3.469139227605962
-3.093740886998875,-3.3533110751593367
-3.093740886998875,-3.23748292271271
-3.093740886998875,-3.1216547702660846
-3.093740886998875,-3.0058266178194577
-3.093740886998875,-2.889998465372832
-3.093740886998875,-2.774170312926206
-3.093740886998875,-2.6583421604795805
-3.093740886998875,-2.542514008032954
-2.6500645095915067,-2.4266858555863275
-1.8896553951285775,-2.310857703139702
-1.8896553951285775,-2.1950295506930764
-1.8896553951285775,-2.07920139824645
-1.8896553951285775,-1.9633732457998245
-1.8896553951285775,-1.8475450933531985
-1.8896553951285775,-1.7317169409065722
-1.2623354571814653,-1.6158887884599469
-1.2241023583558388,-1.5000606360133206
-1.2241023583558388,-1.384232483566695
-1.2241023583558388,-1.2684043311200683
-1.2241023583558388,-1.1525761786734423
-1.0116082889555953,-1.0367480262268163
-1.0116082889555953,-0.9209198737801906
-1.0116082889555953,-0.8050917213335641
-0.8429405912583694,-0.6892635688869385
-0.8429405912583694,-0.5734354164403125
-0.5901330543539022,-0.4576072639936865
-0.06036055473671294,-0.3417791115470602
0.012322174684703367,-0.22595095910043442
0.012322174684703367,-0.11012280665380868
-0.02231621929486282,0.005705345792817832
0.3929082350333221,0.12153349823944368
0.3929082350333221,0.23736165068606951
0.38849925262024615,0.3531898031326953
0.408136608151719,0.4690179555793218
0.800927399586886,0.5848461080259476
0.800927399586886,0.7006742604725734
0.800927399586886,0.8165024129191999
1.1489732897323088,0.9323305653658257
0.9955031455582939,1.0481587178124514
1.1847689201373603,1.1639868702590772
1.2568236736865714,1.279815022705704
1.3890653950606935,1.3956431751523295
1.3890653950606935,1.5114713275989553
1.5886643512828742,1.627299480045582
1.5886643512828742,1.7431276324922074
2.2650768888219734,1.8589557849388336
2.2143900976943787,1.9747839373854592
2.2962167920040897,2.0906120898320855
2.2962167920040897,2.206440242278712
2.2951307409170085,2.3222683947253384
2.37076815867261,2.438096547171963
2.347229645279795,2.5539246996185896
2.8997549652576446,2.669752852065216
2.9117752845972777,2.7855810045118417
2.9829119604814793,2.901409156958468
3.165050354395434,3.017237309405093
3.165050354395434,3.1330654618517193
3.5897524416506306,3.248893614298346
3.4854562262218445,3.364721766744971
3.5084640536293397,3.480549919191598
3.707342096263915,3.5963780716382243
3.769703423263318,3.712206224084849
3.729304057878256,3.8280343765314755
3.729304057878256,3.943862528978102
4.164171447500029,4.059690681424727
3.983138126298785,4.175518833871354
3.983138126298785,4.291346986317979
4.451296093931978,4.407175138764605
4.451296093931978,4.523003291211232
4.7099664632929485,4.638831443657857
4.7099664632929485,4.754659596104483
4.894237613735348,4.870487748551111
4.894237613735348,4.986315900997735
5.103598347314261,5.102144053444362
5.103598347314261,5.217972205890988
5.103598347314261,5.333800358337614
5.198546442728302,5.4496285107842395
5.198546442728302,5.565456663230866
5.400673808268645,5.6812848156774916
5.400673808268645,5.797112968124117
5.400673808268645,5.912941120570743
5.400673808268645,6.028769273017368
5.400673808268645,6.144597425463997
5.400673808268645,6.26042557791062
5.400673808268645,6.376253730357248
5.400673808268645,6.492081882803874
5.400673808268645,6.607910035250499
5.400673808268645,6.723738187697125
5.400673808268645,6.839566340143752
5.400673808268645,6.955394492590377
5.400673808268645,7.071222645037004
5.400673808268645,7.18705079748363
5.400673808268645,7.302878949930255
5.400673808268645,7.418707102376882
5.400673808268645,7.534535254823506
