model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260319_123443_model_1,3.031796000572575,9.19178698908786,2.425483443681279,,9.19178698908786
GBM_grid_1_AutoML_1_20260319_123443_model_12,3.033735349760461,9.203550172386228,2.427902015749227,,9.203550172386228
GBM_grid_1_AutoML_1_20260319_123443_model_4,3.0350863957185,9.211749429475516,2.427627432766069,,9.211749429475516
XGBoost_grid_1_AutoML_1_20260319_123443_model_24,3.03578453929341,9.215987769012902,2.428444981286044,,9.215987769012902
GBM_grid_1_AutoML_1_20260319_123443_model_18,3.038044570704081,9.229714813584543,2.4302749242733235,,9.229714813584543
GBM_grid_1_AutoML_1_20260319_123443_model_22,3.039531782334307,9.238753455820367,2.4304050637811665,,9.238753455820367
GBM_grid_1_AutoML_1_20260319_123443_model_9,3.04050547657335,9.244673553072536,2.4321739779388896,,9.244673553072536
XGBoost_grid_1_AutoML_1_20260319_123443_model_44,3.0421260946461537,9.25453117572706,2.435964450481717,,9.25453117572706
GBM_grid_1_AutoML_1_20260319_123443_model_20,3.042417403754458,9.256303658668015,2.432582606323753,,9.256303658668015
GBM_grid_1_AutoML_1_20260319_123443_model_13,3.043707650237029,9.264156260111418,2.4350382992155226,,9.264156260111418
GBM_grid_1_AutoML_1_20260319_123443_model_2,3.0437814837294304,9.264605720694131,2.4308683434784824,,9.264605720694131
XGBoost_grid_1_AutoML_1_20260319_123443_model_35,3.045170662393018,9.273064363099133,2.4364731322431443,,9.273064363099133
GBM_1_AutoML_1_20260319_123443,3.045715642690904,9.276383776132064,2.436070114043011,,9.276383776132064
GBM_grid_1_AutoML_1_20260319_123443_model_8,3.0457678829665333,9.276701996910438,2.437696847338047,,9.276701996910438
GBM_grid_1_AutoML_1_20260319_123443_model_10,3.045851795506481,9.277213160190051,2.434761915894956,,9.277213160190051
XGBoost_grid_1_AutoML_1_20260319_123443_model_56,3.046402465102521,9.28056797938272,2.4375632913551266,,9.28056797938272
XGBoost_grid_1_AutoML_1_20260319_123443_model_25,3.047103770462555,9.28484138796712,2.4360854471625264,,9.28484138796712
XGBoost_grid_1_AutoML_1_20260319_123443_model_36,3.048702381509056,9.29458621101899,2.438995844649055,,9.29458621101899
GLM_1_AutoML_1_20260319_123443,3.049462781275073,9.299223254381904,2.444135034760897,,9.299223254381904
XGBoost_grid_1_AutoML_1_20260319_123443_model_32,3.052516644162292,9.31785786288782,2.443786345793304,,9.31785786288782
DeepLearning_grid_1_AutoML_1_20260319_123443_model_1,3.053088506314377,9.321349427388952,2.446515908193139,,9.321349427388952
XGBoost_grid_1_AutoML_1_20260319_123443_model_49,3.0535025129012854,9.323877596294466,2.4441455942673,,9.323877596294466
XGBoost_grid_1_AutoML_1_20260319_123443_model_38,3.057120640902062,9.345986613029432,2.446645163515184,,9.345986613029432
XGBoost_grid_1_AutoML_1_20260319_123443_model_1,3.057400174017206,9.34769582408044,2.443139892986507,,9.34769582408044
GBM_grid_1_AutoML_1_20260319_123443_model_7,3.06025337590194,9.36515072471922,2.450339840877289,,9.36515072471922
DeepLearning_grid_1_AutoML_1_20260319_123443_model_2,3.0610669185370547,9.37013067976194,2.452765499688647,,9.37013067976194
XGBoost_grid_1_AutoML_1_20260319_123443_model_23,3.063952974402244,9.387807829348356,2.445758606432084,,9.387807829348356
GBM_5_AutoML_1_20260319_123443,3.066540712289049,9.403671940126229,2.453938935201072,,9.403671940126229
DeepLearning_grid_1_AutoML_1_20260319_123443_model_3,3.068558345626428,9.416050320513596,2.457753204377554,,9.416050320513596
GBM_2_AutoML_1_20260319_123443,3.0700935129482216,9.425474178246752,2.453276485274048,,9.425474178246752
XGBoost_grid_1_AutoML_1_20260319_123443_model_8,3.077529192220829,9.47118592897139,2.4589054659964957,,9.47118592897139
GBM_3_AutoML_1_20260319_123443,3.078179096499435,9.47518655012608,2.4584376984662835,,9.47518655012608
GBM_grid_1_AutoML_1_20260319_123443_model_16,3.0786332790606306,9.47798286693961,2.461697925865578,,9.47798286693961
GBM_grid_1_AutoML_1_20260319_123443_model_5,3.0790905232470056,9.48079845034952,2.4624849587637097,,9.48079845034952
GBM_grid_1_AutoML_1_20260319_123443_model_3,3.080814194967118,9.491416103910892,2.466700154919937,,9.491416103910892
GBM_grid_1_AutoML_1_20260319_123443_model_11,3.0881492369994072,9.53666570998002,2.4641954963783297,,9.53666570998002
DeepLearning_1_AutoML_1_20260319_123443,3.0885139634053638,9.538918502149906,2.472054264083168,,9.538918502149906
GBM_grid_1_AutoML_1_20260319_123443_model_17,3.101436903292623,9.618910865105336,2.4830667016650803,,9.618910865105336
XGBoost_3_AutoML_1_20260319_123443,3.1049560767394206,9.640752238481054,2.484141561817305,,9.640752238481054
XGBoost_grid_1_AutoML_1_20260319_123443_model_11,3.107583775810288,9.657076923679329,2.483488173663526,,9.657076923679329
GBM_grid_1_AutoML_1_20260319_123443_model_15,3.108016851589681,9.659768749765435,2.485488773248777,,9.659768749765435
XGBoost_grid_1_AutoML_1_20260319_123443_model_13,3.115262236770357,9.704858803847452,2.4940324780189287,,9.704858803847452
XGBoost_grid_1_AutoML_1_20260319_123443_model_45,3.1178670281650582,9.721094805318812,2.4913643149490032,,9.721094805318812
GBM_grid_1_AutoML_1_20260319_123443_model_14,3.119640662441544,9.732157862758712,2.489569503120405,,9.732157862758712
GBM_4_AutoML_1_20260319_123443,3.1207408590205707,9.73902350916045,2.490488041215987,,9.73902350916045
XGBoost_grid_1_AutoML_1_20260319_123443_model_26,3.1210612536614013,9.74102334910648,2.492133496563256,,9.74102334910648
XGBoost_grid_1_AutoML_1_20260319_123443_model_19,3.1230623665724333,9.753518545501008,2.492683975963571,,9.753518545501008
DRF_1_AutoML_1_20260319_123443,3.1236656275350136,9.75728695264371,2.497324354435751,,9.75728695264371
XGBoost_grid_1_AutoML_1_20260319_123443_model_16,3.125875322541689,9.77109653207511,2.500820820054316,,9.77109653207511
XGBoost_grid_1_AutoML_1_20260319_123443_model_30,3.126384535421336,9.774280263321682,2.5048360989214182,,9.774280263321682
XGBoost_grid_1_AutoML_1_20260319_123443_model_52,3.1286644023204624,9.788540942347256,2.496520928559636,,9.788540942347256
XGBoost_grid_1_AutoML_1_20260319_123443_model_39,3.12888128933892,9.78989812277518,2.500233992400536,,9.78989812277518
XGBoost_grid_1_AutoML_1_20260319_123443_model_42,3.132882553931283,9.814953096727,2.5055921178709744,,9.814953096727
XGBoost_grid_1_AutoML_1_20260319_123443_model_48,3.133982353648036,9.821845392977286,2.502540859119131,,9.821845392977286
XGBoost_grid_1_AutoML_1_20260319_123443_model_22,3.1375280384256445,9.844082191907074,2.5068448876020235,,9.844082191907074
XGBoost_grid_1_AutoML_1_20260319_123443_model_51,3.140541793878695,9.863002759098812,2.513484994058215,,9.863002759098812
XGBoost_grid_1_AutoML_1_20260319_123443_model_37,3.140872387064722,9.865079351825644,2.5112908785017467,,9.865079351825644
XGBoost_grid_1_AutoML_1_20260319_123443_model_18,3.1418955205359382,9.871507461963796,2.514072460021361,,9.871507461963796
XRT_1_AutoML_1_20260319_123443,3.146161717630888,9.898333553486134,2.513828861381464,,9.898333553486134
XGBoost_grid_1_AutoML_1_20260319_123443_model_21,3.1473673346304643,9.905921139098872,2.5220698035401323,,9.905921139098872
XGBoost_grid_1_AutoML_1_20260319_123443_model_46,3.174069162595792,10.07471504894155,2.537861739232999,,10.07471504894155
XGBoost_grid_1_AutoML_1_20260319_123443_model_40,3.175058445433172,10.080996131916512,2.53940266802916,,10.080996131916512
XGBoost_grid_1_AutoML_1_20260319_123443_model_14,3.180767454354021,10.11728159867776,2.5389526642525837,,10.11728159867776
XGBoost_grid_1_AutoML_1_20260319_123443_model_29,3.1848298358327503,10.143141083210462,2.54347109112861,,10.143141083210462
XGBoost_grid_1_AutoML_1_20260319_123443_model_55,3.191672861667356,10.186775655903892,2.5470907452864195,,10.186775655903892
GBM_grid_1_AutoML_1_20260319_123443_model_21,3.193020393728835,10.195379234768245,2.5490115672341767,,10.195379234768245
GBM_grid_1_AutoML_1_20260319_123443_model_19,3.196266257509857,10.216117988896068,2.55010525527662,,10.216117988896068
XGBoost_grid_1_AutoML_1_20260319_123443_model_50,3.203837849012851,10.264576962767292,2.559387314995055,,10.264576962767292
XGBoost_grid_1_AutoML_1_20260319_123443_model_31,3.2058106475007904,10.277221907629436,2.55464136631767,,10.277221907629436
XGBoost_grid_1_AutoML_1_20260319_123443_model_5,3.231893931405353,10.445138383854747,2.581396387717026,,10.445138383854747
XGBoost_grid_1_AutoML_1_20260319_123443_model_34,3.239550162871688,10.49468525776198,2.5875789435361485,,10.49468525776198
XGBoost_grid_1_AutoML_1_20260319_123443_model_9,3.243910048159397,10.522952400549505,2.592527001530441,,10.522952400549505
XGBoost_grid_1_AutoML_1_20260319_123443_model_33,3.2516093960339782,10.572963664376454,2.6026635171337547,,10.572963664376454
XGBoost_grid_1_AutoML_1_20260319_123443_model_12,3.253004962381494,10.582041285278624,2.6007765476709026,,10.582041285278624
XGBoost_grid_1_AutoML_1_20260319_123443_model_4,3.253300266789634,10.583962625893502,2.592711142705279,,10.583962625893502
XGBoost_grid_1_AutoML_1_20260319_123443_model_43,3.256551862309158,10.605130031909244,2.608143457031457,,10.605130031909244
XGBoost_grid_1_AutoML_1_20260319_123443_model_3,3.27284638311865,10.71152344749283,2.614163546764804,,10.71152344749283
XGBoost_grid_1_AutoML_1_20260319_123443_model_2,3.29615501064794,10.864637854219522,2.6341646444374955,,10.864637854219522
XGBoost_grid_1_AutoML_1_20260319_123443_model_7,3.2992357875620053,10.884956781929883,2.632798909059001,,10.884956781929883
XGBoost_grid_1_AutoML_1_20260319_123443_model_41,3.3187906397665845,11.014371310602296,2.6533640339209263,,11.014371310602296
XGBoost_grid_1_AutoML_1_20260319_123443_model_10,3.332318593108696,11.104347205977918,2.654471044392205,,11.104347205977918
XGBoost_grid_1_AutoML_1_20260319_123443_model_15,3.3494000249200173,11.218480526934211,2.6776481401183614,,11.218480526934211
XGBoost_grid_1_AutoML_1_20260319_123443_model_27,3.351431236527957,11.23209133317531,2.674767253480016,,11.23209133317531
XGBoost_2_AutoML_1_20260319_123443,3.357431802650773,11.27234830945082,2.688934314891373,,11.27234830945082
XGBoost_grid_1_AutoML_1_20260319_123443_model_47,3.384561160616378,11.455254249952883,2.70559000488208,,11.455254249952883
XGBoost_1_AutoML_1_20260319_123443,3.405501753099525,11.59744219036394,2.717621312220671,,11.59744219036394
XGBoost_grid_1_AutoML_1_20260319_123443_model_20,3.406537078881401,11.604494869793829,2.717460654072425,,11.604494869793829
XGBoost_grid_1_AutoML_1_20260319_123443_model_6,3.409523543294048,11.624850792276398,2.7151271524316427,,11.624850792276398
XGBoost_grid_1_AutoML_1_20260319_123443_model_28,3.4138853554871886,11.654613220409887,2.7235228058388894,,11.654613220409887
GBM_grid_1_AutoML_1_20260319_123443_model_6,3.44625738993997,11.876689997715856,2.745073177049087,,11.876689997715856
XGBoost_grid_1_AutoML_1_20260319_123443_model_54,3.498454792422256,12.23918593462225,2.787616076031417,,12.23918593462225
XGBoost_grid_1_AutoML_1_20260319_123443_model_17,3.5074083645221195,12.301913435519728,2.8093848535542407,,12.301913435519728
XGBoost_grid_1_AutoML_1_20260319_123443_model_53,3.5225196784602173,12.408144885139471,2.810210014956395,,12.408144885139471
