mean_pdp,ground_truth_pdp
-3.555069957813674,-1.76404326972402
-3.549570337846388,-1.9969910464096097
-3.544007288691083,-2.2194798835244622
-3.5496473728830313,-2.431509781068579
-3.54825034999805,-2.6330807390419597
-3.5539257774828945,-2.824192757444605
-3.5480320880504665,-3.0048458362765142
-3.543658403295267,-3.175039975537685
-3.5597553080858626,-3.334775175228122
-3.7696415880077927,-3.484051435347824
-3.8029885321989663,-3.622868755896789
-3.890037758576654,-3.751227136875019
-3.857684368619453,-3.8691265782825126
-3.8475377798565256,-3.9765670801192705
-3.7756700295128884,-4.073548642385292
-3.7073405896174765,-4.160071265080577
-3.8447990361958215,-4.236134948205127
-4.036968856693589,-4.301739691758941
-4.1198840454548655,-4.35688549574202
-4.157120496437327,-4.401572360154362
-4.276764202838722,-4.435800284995968
-4.332813744696702,-4.459569270266838
-4.317096318552236,-4.472879315966972
-4.278460474184808,-4.475730422096372
-4.320669826812781,-4.468122588655034
-4.156709841223005,-4.450055815642961
-4.240967414169053,-4.421530103060152
-4.319054990576279,-4.382545450906606
-4.389561212844686,-4.3331018591823245
-4.116373928788363,-4.2731993278873075
-4.0752798905116006,-4.202837857021556
-4.0558893585596305,-4.122017446585066
-3.7045670549260903,-4.030738096577841
-3.6009296866814724,-3.928999806999881
-3.3582970520026416,-3.8168025778511843
-3.426637224807678,-3.6941464091317515
-3.3918264406881113,-3.561031300841584
-3.243992801366516,-3.4174572529806793
-3.065057948344934,-3.2634242655490393
-3.041339347221296,-3.098932338546663
-2.8639082090714685,-2.923981471973551
-2.654959105319208,-2.7385716658297032
-2.37125430581584,-2.542702920115119
-2.343670808789449,-2.3363752348297995
-1.9704801990002,-2.1195886099737438
-1.7512398743445639,-1.8923430455469523
-1.5447589496714196,-1.6546385415494245
-1.4122783788770017,-1.4064750979811613
-0.9928958415316296,-1.1478527148421636
-0.7237676707620442,-0.8787713921324285
-0.5119321809611045,-0.5992311298519573
-0.42982581098957967,-0.30923192800075017
-0.0987845276124139,-0.008773786578807346
0.29154965142276035,0.30214329441387144
0.5426928938909321,0.623519314977286
0.7440338226848744,0.9553542751114368
1.2792944950291114,1.2976481748163236
1.59185063028171,1.6504010140919458
1.9126540452157788,2.013612792938304
2.0418404289298766,2.387283511355398
2.9220491953016636,2.771413169343229
2.9372068865968304,3.166001766901795
3.5083947284435735,3.5710493040310967
4.0917161594233775,3.986555780731135
4.300621117462663,4.412521197001909
4.482000833639845,4.848945552843418
4.856592183669004,5.295828848255664
5.491139754715869,5.753171083238647
5.729953647786164,6.220972257792363
6.29185426381895,6.699232371916817
7.050803936229736,7.187951425612005
7.2927743461996934,7.687129418877931
7.468185331212298,8.196766351714594
8.472502156990979,8.71686222412199
8.657332546892858,9.247417036100122
8.88658291263395,9.788430787648991
9.01738248166593,10.339903478768596
10.626203848587757,10.901835109458936
10.818462443404533,11.474225679720016
11.093950668503542,12.057075189551824
11.707763869118747,12.650383638954375
11.854915608471227,13.254151027927659
12.24445433682334,13.86837735647168
12.50322686341577,14.493062624586434
12.803687495350504,15.128206832271925
13.37713960764892,15.773809979528155
13.489662694673235,16.429872066355117
13.54298550462232,17.096393092752823
13.597181221713376,17.773373058721255
13.705885798628383,18.460811964260426
13.959499313064848,19.158709809370333
14.018857948980873,19.867066594050975
14.062844322302633,20.585882318302357
14.152941173270964,21.31515698212447
14.196944366773481,22.054890585517324
14.240953375260828,22.80508312848091
14.284968408109343,23.565734611015227
14.328987070095016,24.336845033120284
14.373008446340918,25.118414394796076
14.417032395700643,25.910442696042608
