mean_pdp,ground_truth_pdp
-3.6752798211014133,-1.76404326972402
-3.7364088793512886,-1.9969910464096097
-3.797860056992169,-2.2194798835244622
-3.8596234908539673,-2.431509781068579
-3.9217202424660376,-2.6330807390419597
-3.984152382822764,-2.824192757444605
-4.046944228889216,-3.0048458362765142
-4.110012913301252,-3.175039975537685
-4.173316241598014,-3.334775175228122
-4.236798165326222,-3.484051435347824
-4.300424934758981,-3.622868755896789
-4.3640789338071055,-3.751227136875019
-4.427609094212719,-3.8691265782825126
-4.490590149918755,-3.9765670801192705
-4.552282812731872,-4.073548642385292
-4.611610342792688,-4.160071265080577
-4.665874442155553,-4.236134948205127
-4.712449919238482,-4.301739691758941
-4.747948481572173,-4.35688549574202
-4.770490771140088,-4.401572360154362
-4.778430983690212,-4.435800284995968
-4.768620100406463,-4.459569270266838
-4.7394550479964455,-4.472879315966972
-4.6912616425724165,-4.475730422096372
-4.625160549447465,-4.468122588655034
-4.543765291932008,-4.450055815642961
-4.449593684866633,-4.421530103060152
-4.344784294304354,-4.382545450906606
-4.231961700384654,-4.3331018591823245
-4.11350577141157,-4.2731993278873075
-3.9916050279113535,-4.202837857021556
-3.867455830536959,-4.122017446585066
-3.7411763377678087,-4.030738096577841
-3.612874500050582,-3.928999806999881
-3.4821401894063895,-3.8168025778511843
-3.34851840192897,-3.6941464091317515
-3.211621738053069,-3.561031300841584
-3.0708955111573863,-3.4174572529806793
-2.925807708001019,-3.2634242655490393
-2.775592906005901,-3.098932338546663
-2.61960488903026,-2.923981471973551
-2.4573740229901166,-2.7385716658297032
-2.2883665910914157,-2.542702920115119
-2.111923059815612,-2.3363752348297995
-1.9275493482260284,-2.1195886099737438
-1.7345829514344413,-1.8923430455469523
-1.532612301968515,-1.6546385415494245
-1.3204902349435887,-1.4064750979811613
-1.097254954879492,-1.1478527148421636
-0.8619035937320499,-0.8787713921324285
-0.613002098998116,-0.5992311298519573
-0.3497118004370015,-0.30923192800075017
-0.070887349593676,-0.008773786578807346
0.22479504092377728,0.30214329441387144
0.5387472440318795,0.623519314977286
0.871634250694628,0.9553542751114368
1.2218485931340013,1.2976481748163236
1.5872055631465045,1.6504010140919458
1.9651396179055214,2.013612792938304
2.353462861633107,2.387283511355398
2.7507686895931047,2.771413169343229
3.1559723646396085,3.166001766901795
3.568746492753098,3.5710493040310967
3.988506696568407,3.986555780731135
4.414944274830073,4.412521197001909
4.847094286433402,4.848945552843418
5.28498099598461,5.295828848255664
5.728095494912153,5.753171083238647
6.1755725123904615,6.220972257792363
6.6266536441880195,6.699232371916817
7.0808568086302195,7.187951425612005
7.537528609148972,7.687129418877931
7.996291217120739,8.196766351714594
8.456921020863732,8.71686222412199
8.919053494639913,9.247417036100122
9.382622109494964,9.788430787648991
9.847522389674877,10.339903478768596
10.313595434501135,10.901835109458936
10.78061586758997,11.474225679720016
11.248504255161114,12.057075189551824
11.717258293055519,12.650383638954375
12.186789143013867,13.254151027927659
12.656839221995655,13.86837735647168
13.127353419124189,14.493062624586434
13.598279195232582,15.128206832271925
14.0696056391082,15.773809979528155
14.541183349095025,16.429872066355117
15.012983138184081,17.096393092752823
15.484949322236268,17.773373058721255
15.95695505207119,18.460811964260426
16.429017496537448,19.158709809370333
16.90112586800559,19.867066594050975
17.373175884184068,20.585882318302357
17.845204398545146,21.31515698212447
18.31718894622824,22.054890585517324
18.789101430278468,22.80508312848091
19.260942000170594,23.565734611015227
19.73267920201873,24.336845033120284
20.204314536473994,25.118414394796076
20.675860605370794,25.910442696042608
