model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260320_221204_model_1,2.0254716660915038,4.10253547013949,1.6105721387215206,,4.10253547013949
GBM_grid_1_AutoML_1_20260320_221204_model_33,2.029288682252317,4.118012555917345,1.6125030765733943,,4.118012555917345
GBM_grid_1_AutoML_1_20260320_221204_model_9,2.029557397604828,4.119103230172483,1.6143224708733113,,4.119103230172483
GBM_grid_1_AutoML_1_20260320_221204_model_20,2.0300021812221094,4.1209088557665225,1.61478192611945,,4.1209088557665225
GBM_grid_1_AutoML_1_20260320_221204_model_4,2.030225558289128,4.121815817530401,1.6154269332313205,,4.121815817530401
GBM_grid_1_AutoML_1_20260320_221204_model_12,2.034843803885938,4.140589306212995,1.6183288728599106,,4.140589306212995
GBM_grid_1_AutoML_1_20260320_221204_model_18,2.0357859666698856,4.1444245020900405,1.621296824947968,,4.1444245020900405
GBM_grid_1_AutoML_1_20260320_221204_model_13,2.036488384548331,4.14728494040027,1.6181720331774256,,4.14728494040027
XGBoost_grid_1_AutoML_1_20260320_221204_model_24,2.0369046111091853,4.148980394757862,1.6184920193040278,,4.148980394757862
XGBoost_grid_1_AutoML_1_20260320_221204_model_36,2.0387956461832,4.156687686895572,1.6216945057150152,,4.156687686895572
GBM_grid_1_AutoML_1_20260320_221204_model_22,2.0391517379983872,4.158139810581843,1.6214138175652275,,4.158139810581843
GBM_grid_1_AutoML_1_20260320_221204_model_2,2.040973563970436,4.165573088826183,1.6245994442777747,,4.165573088826183
XGBoost_grid_1_AutoML_1_20260320_221204_model_25,2.0410287789722035,4.165798476592764,1.6200234665786557,,4.165798476592764
GBM_1_AutoML_1_20260320_221204,2.0412089473100647,4.166533966578663,1.6225003666806923,,4.166533966578663
XGBoost_grid_1_AutoML_1_20260320_221204_model_35,2.0427661091685345,4.1728933767675525,1.6243432144611782,,4.1728933767675525
GBM_grid_1_AutoML_1_20260320_221204_model_8,2.0433303881312703,4.175199075060688,1.6272272865634576,,4.175199075060688
GBM_grid_1_AutoML_1_20260320_221204_model_10,2.043801035289877,4.177122671851973,1.6244532568518586,,4.177122671851973
XGBoost_grid_1_AutoML_1_20260320_221204_model_56,2.043877552253768,4.177435448606854,1.623172048874112,,4.177435448606854
XGBoost_grid_1_AutoML_1_20260320_221204_model_38,2.045362078103382,4.183506030543385,1.6294321806685708,,4.183506030543385
GBM_grid_1_AutoML_1_20260320_221204_model_31,2.046089886345994,4.186483823007364,1.6304617182338057,,4.186483823007364
XGBoost_grid_1_AutoML_1_20260320_221204_model_44,2.0470958900586265,4.190601583094921,1.6272960727442811,,4.190601583094921
XGBoost_grid_1_AutoML_1_20260320_221204_model_49,2.0477369432371906,4.193226588698393,1.6294353128784511,,4.193226588698393
XGBoost_grid_1_AutoML_1_20260320_221204_model_1,2.0487637344036878,4.197432839407743,1.625620232412318,,4.197432839407743
GBM_grid_1_AutoML_1_20260320_221204_model_27,2.049417703000792,4.200112921373042,1.6300986329761662,,4.200112921373042
GBM_5_AutoML_1_20260320_221204,2.049851735191356,4.201892136267014,1.6294941134154657,,4.201892136267014
XGBoost_grid_1_AutoML_1_20260320_221204_model_32,2.050535977562827,4.20469779527954,1.62722122087038,,4.20469779527954
XGBoost_grid_1_AutoML_1_20260320_221204_model_23,2.05228929184554,4.211891337423868,1.6331342941217533,,4.211891337423868
GBM_grid_1_AutoML_1_20260320_221204_model_7,2.052710895118398,4.213622018937775,1.6358122002644415,,4.213622018937775
GBM_2_AutoML_1_20260320_221204,2.056265775675956,4.22822894021624,1.636345131013406,,4.22822894021624
GBM_grid_1_AutoML_1_20260320_221204_model_16,2.06185991968075,4.251266328385908,1.6392517737020422,,4.251266328385908
GBM_grid_1_AutoML_1_20260320_221204_model_5,2.0646895314053237,4.262942861094733,1.641042740216584,,4.262942861094733
XGBoost_grid_1_AutoML_1_20260320_221204_model_8,2.065397075248996,4.265865078447106,1.640386453231954,,4.265865078447106
GBM_grid_1_AutoML_1_20260320_221204_model_3,2.067064512417779,4.272755698496951,1.6430203487308457,,4.272755698496951
DeepLearning_grid_1_AutoML_1_20260320_221204_model_1,2.068093663660408,4.27701140167233,1.6495696801015136,,4.27701140167233
DeepLearning_grid_1_AutoML_1_20260320_221204_model_9,2.068850892400992,4.280144014988381,1.650465233454871,,4.280144014988381
DeepLearning_grid_1_AutoML_1_20260320_221204_model_12,2.0694635838992066,4.282679525084948,1.6513905404395135,,4.282679525084948
